prod_year,area_planted,production,value,price_white,price_yellow,yld,yld_index
1980_81,4488,14872,1768711,134.15,134,3.31372549,352.5
1981_82,4664,8781,1190204,155.05,155.05,1.882718696,200.3
1982_83,4680,4399,770447,170.05,170.05,0.939957265,100
1983_84,4839,4797,1055662,219.5,215.55,0.991320521,105.5
1984_85,4502,8444,1920603,221.45,217.5,1.87561084,199.5
1985_86,4829,8600,2008968,283.59,271.77,1.78090702,189.5
1986_87,5063,7890,1986303,318,306,1.558364606,165.8
1987_88,4736,7670,1960705,288,283,1.619510135,172.3
1988_89,4394,12481,3328612,268,263,2.840464269,302.2
1989_90,4163,9180,2814823,302.67,302.67,2.205140524,234.6
1990_91,3816,8614,3201580,357.62,357.62,2.257337526,240.2
1991_92,4173,3277,1489980,445,445,0.785286365,83.5
1992_93,4377,9997,4137166,417,417,2.283984464,243
1993_94,4661,13275,4868414,330,330,2.848101266,303
1994_95,3526,4866,2825182,304,304,1.380034033,146.8
1995_96,3761,10171,6043332,483.97,475.05,2.704333954,287.7
1996_97,4023,10136,6000866,580,600,2.519512801,268
1997_98,3560,7693,4454363,593.53,539.4,2.160955056,229.9
1998_99,3567,7946,5397112,671.25,677.58,2.227642276,237
1999_00,4013,11455,6289684,535.1,560.05,2.854472963,303.7
2000_01,3189,7772,6928826,937.61,810.27,2.437127626,259.3
2001_02,3533,10076,13814457,1361.32,1370.5,2.851967167,303.4
2002_03,3651,9705,9134479,947.69,912.95,2.658175842,282.8
2003_04,3204,9737,8217185,822.28,875.06,3.039013733,323.3
2004_05,3223,11749,7473768,659.66,586.68,3.645361464,387.8
2005_06,2032,6947,7418730,996.4,960.33,3.418799213,363.7
2006_07,2897,7339,10641551,1513.18,1484.87,2.533310321,269.5
2007_08,3297,13164,21926055,1606.66,1580.93,3.992720655,424.8
2008_09,2896,12567,16339129,1440.96,1301.75,4.339433702,461.7
2009_10,3263,13421,13492398,970.02,1060.43,4.113086117,437.6
2010_11,2859,10924,16669693,1601.63,1429.43,3.820916404,406.5
2011_12,3141,12759,25123585,2018.78,1901.94,4.062082139,432.2
2012_13,3238,12486,24947939,1998.03,2014.24,3.856084002,410.2
2013_14,3096,14925,29330964,1953.28,1969.89,4.820736434,512.9
2014_15,3048,10629,24800500,2447.9,2133.16,3.487204724,371
2015_16,2213,8214,27906422,3940,2953.88,3.71170357,394.9
2016_17,2995,17551,30161491,1660.2,1802.89,5.860100167,623.4
2017_18,2634,13104,24485337,1791.59,1955.55,4.974943052,529.3
2018_19,2596,11824,28545421,2449.31,2378.93,4.554699538,484.6
2019_20,2908,15844,39143875,2438.02,2512.56,5.448418157,579.6
2020_21,3118,16951,47392190,2730.84,2870.19,5.436497755,578.4
2021_22,3002,16137,63787742,4039.61,4053.61,5.375416389,571.9
